date,visitors_total,yoy_rate,yoy_diff,usd_jpy,cny_jpy
2025-02-01,3258491,0.1686618435247671,470267.0,151.6055,20.84671980296701
2025-03-01,3497755,0.13497844266026693,415974.0,149.05761904761906,20.561716165218094
2025-04-01,3909128,0.2846283753252954,866125.0,144.12863636363636,19.752620483762477
2025-05-01,3693587,0.2148782321709677,653293.0,144.77318181818183,20.066082451292107
2025-06-01,3377985,0.07557149143391695,237343.0,144.48809523809524,20.12163539114117
2025-07-01,3437118,0.04389112319071664,144516.0,147.10391304347826,20.50543613138
2025-08-01,3428406,0.1687557804458404,495025.0,147.47857142857143,20.561175486377675
2025-09-01,3267228,0.13742133558828984,394741.0,147.8190909090909,20.75007235093156
2025-10-01,3896524,0.1764181616228282,584331.0,151.38,21.259588238609897
2025-11-01,3518195,0.10386000141190865,331020.0,155.1455,21.833579338193246
2025-12-01,3617700,0.0366235248810276,127812.0,155.91130434782607,22.14083078835164
