国,地域,推定泊数_2019年,推定泊数_2019年差,部屋あたり人数_2019年,部屋あたり人数_2019年差,#,実人数 前年,実人数 前年 構成比,実人数 前年伸率 (客室数補正あり）,実人数 前年伸率 (客室数補正なし）,実人数 当年,実人数 当年 構成比,実人数_2019年,実人数_2019年伸率 （客室数補正あり）,実人数_2019年伸率 （客室数補正なし）,年,延べ人数 前年,延べ人数 前年 構成比,延べ人数 前年伸率 (客室数補正あり）,延べ人数 前年伸率 (客室数補正なし）,延べ人数 当年,延べ人数 当年 構成比,延べ人数_2019年,延べ人数_2019年伸率 （客室数補正あり）,延べ人数_2019年伸率 （客室数補正なし）,延べ部屋数 前年,延べ部屋数 前年 構成比,延べ部屋数 前年伸率 (客室数補正あり）,延べ部屋数 前年伸率 (客室数補正なし）,延べ部屋数 当年,延べ部屋数 当年 構成比,延べ部屋数_2019年,延べ部屋数_2019年伸率 （客室数補正あり）,延べ部屋数_2019年伸率 （客室数補正なし）,推定泊数 前年,推定泊数 前年差,推定泊数 当年,月,総客室数 (Sheet1),総客室数_2019年 (Sheet1),総客室数_前年 (Sheet1),部屋あたり人数_前年,部屋あたり人数_前年差,部屋あたり人数_当年
ニュージーランド,オセアニア,,,,,42,109,0.002,1.009446518,0.027522936,112,0.002,,,,2014,287,0.003,1.126174763,0.146341463,329,0.003,,,,159,0.003,0.970050442,-0.012578616,157,0.003,,,,2.633027523,0.304472477,2.9375,5月,231973,,,1.805031447,0.290509955,2.095541401
その他,オセアニア,,,,,43,43,0.001,1.050947849,0.069767442,46,0.001,,,,2014,88,0.001,1.183354816,0.204545455,106,0.001,,,,48,0.001,1.535012144,0.5625,75,0.001,,,,2.046511628,0.257836198,2.304347826,5月,231973,,,1.833333333,-0.42,1.413333333
オセアニア小計,オセアニア,,,,,44,2828,0.062,1.238083911,0.260254597,3564,0.059,,,,2014,6458,0.068,1.275395906,0.298234748,8384,0.068,,,,3054,0.064,1.325960981,0.349705305,4122,0.067,,,,2.283592645,0.068820374,2.352413019,5月,231973,,,2.114603798,-0.080639703,2.033964095
アフリカ,アフリカ,,,,,45,40,0.001,5.305001969,4.4,216,0.004,,,,2014,77,0.001,5.549965985,4.649350649,435,0.004,,,,49,0.001,4.891989722,3.979591837,244,0.004,,,,1.925,0.088888889,2.013888889,5月,231973,,,1.571428571,0.211358314,1.782786885
海外その他,海外その他,,,,,46,2749,0.06,0.860187525,-0.124408876,2407,0.038,,,,2014,5711,0.06,0.875411163,-0.108912625,5089,0.041,,,,2894,0.06,0.959663708,-0.023151348,2827,0.046,,,,2.077482721,0.036767383,2.114250104,5月,231973,,,1.973393227,-0.173251735,1.800141493
海外合計,海外合計,,,,,47,45735,,1.301950748,0.325265114,60611,0,,,,2014,94923,,1.284531048,0.307533475,124115,0,,,,48065,,1.265162981,0.287818579,61899,0,,,,2.075500164,-0.027769554,2.047730610,5月,231973,,,1.974888172,0.030233074,2.005121246
国内合計,国内合計,,,,,48,177595,,0.958532821,-0.024302486,173279,0,,,,2014,291765,,0.964063702,-0.018672562,286317,0,,,,158462,,0.912990373,-0.070660474,147265,0,,,,1.642867198,0.009479595,1.652346793,5月,231973,,,1.841230074,0.102999716,1.944229790
合　　計,合　　計,,,,,49,223330,,1.028860224,0.047284288,233890,0,,,,2014,386688,,1.042731056,0.061403509,410432,0,,,,206527,,0.994951455,0.012768306,209164,0,,,,1.731464649,0.023343167,1.754807816,5月,231973,,,1.872336305,0.089913413,1.962249718
アメリカ,北米,,,,,1,9336,0.181,1.037383559,0.047129392,9776,0.176,,,,2014,21009,0.198,1.050580471,0.060450283,22279,0.197,,,,11048,0.205,1.015352524,0.024891383,11323,0.199,,,,2.250321337,0.028627108,2.278948445,6月,224490,,,1.901611151,0.065976944,1.967588095
カナダ,北米,,,,,2,807,0.016,0.905986733,-0.085501859,738,0.013,,,,2014,1789,0.017,0.863879700,-0.128004472,1560,0.014,,,,934,0.017,0.854923345,-0.137044968,806,0.014,,,,2.216852540,-0.103031402,2.113821138,6月,224490,,,1.915417559,0.020066312,1.935483871
北米小計,北米,,,,,3,10143,0.197,1.026929331,0.036576950,10514,0.189,,,,2014,22798,0.215,1.035929726,0.045661900,23839,0.211,,,,11982,0.223,1.002847028,0.012268403,12129,0.213,,,,2.247658484,0.019699325,2.267357809,6月,224490,,,1.902687364,0.062767331,1.965454695
メキシコ,中南米,,,,,4,278,0.005,1.086911176,0.097122302,305,0.007,,,,2014,628,0.006,1.307777610,0.320063694,829,0.007,,,,322,0.006,1.119913611,0.130434783,364,0.006,,,,2.258992806,0.459039981,2.718032787,6月,224490,,,1.950310559,0.327161968,2.277472527
ブラジル,中南米,,,,,5,493,0.01,0.920359649,-0.070993915,458,0.008,,,,2014,860,0.008,1.063266818,0.073255814,923,0.008,,,,475,0.009,0.928122738,-0.063157895,445,0.008,,,,1.744421907,0.270861936,2.015283843,6月,224490,,,1.810526316,0.263630988,2.074157303
その他,中南米,,,,,6,503,0.01,0.712983692,-0.280318091,362,0.006,,,,2014,1085,0.01,0.618155790,-0.376036866,677,0.006,,,,575,0.011,0.594415686,-0.4,345,0.006,,,,2.157057654,-0.286891908,1.870165746,6月,224490,,,1.886956522,0.075362319,1.962318841
南米小計,中南米,,,,,7,1274,0.025,0.874826853,-0.116954474,1125,0.021,,,,2014,2573,0.024,0.935247895,-0.055965799,2429,0.022,,,,1372,0.025,0.833279521,-0.158892128,1154,0.02,,,,2.019623234,0.139487877,2.159111111,6月,224490,,,1.875364431,0.229488255,2.104852686
イギリス,ヨーロッパ,,,,,8,1179,0.023,1.076401602,0.086513995,1281,0.023,,,,2014,2740,0.026,1.048181918,0.058029197,2899,0.026,,,,1576,0.029,0.885085962,-0.106598985,1408,0.025,,,,2.324003393,-0.060927671,2.263075722,6月,224490,,,1.738578680,0.320370183,2.058948864
フランス,ヨーロッパ,,,,,9,810,0.016,1.396754554,0.409876543,1142,0.021,,,,2014,2006,0.019,1.350226392,0.362911266,2734,0.024,,,,1170,0.022,1.309916048,0.322222222,1547,0.027,,,,2.476543210,-0.082497676,2.394045534,6月,224490,,,1.714529915,0.052761617,1.767291532
ドイツ,ヨーロッパ,,,,,10,711,0.014,1.056181645,0.066104079,758,0.014,,,,2014,1757,0.017,1.010991581,0.020489471,1793,0.016,,,,1124,0.021,0.909604074,-0.081850534,1032,0.018,,,,2.471167370,-0.105732014,2.365435356,6月,224490,,,1.563167260,0.174235841,1.737403101
イタリア,ヨーロッパ,,,,,11,550,0.011,1.626537468,0.641818182,903,0.016,,,,2014,1394,0.013,1.444108888,0.457675753,2032,0.018,,,,786,0.015,1.338569674,0.351145038,1062,0.019,,,,2.534545455,-0.284268600,2.250276855,6月,224490,,,1.773536896,0.139834102,1.913370998
オランダ,ヨーロッパ,,,,,12,187,0.004,0.794673377,-0.197860963,150,0.003,,,,2014,599,0.006,0.769068709,-0.223706177,465,0.004,,,,370,0.007,0.704195159,-0.289189189,263,0.005,,,,3.203208556,-0.103208556,3.1,6月,224490,,,1.618918919,0.149141918,1.768060837
スペイン,ヨーロッパ,,,,,13,712,0.014,1.714232502,0.730337079,1232,0.022,,,,2014,1755,0.017,1.571560560,0.586324786,2784,0.025,,,,926,0.017,1.464641962,0.478401728,1369,0.024,,,,2.464887640,-0.205147381,2.259740260,6月,224490,,,1.895248380,0.138352789,2.033601169
スイス,ヨーロッパ,,,,,14,241,0.005,0.953695983,-0.037344398,232,0.004,,,,2014,566,0.005,1.025699623,0.035335689,586,0.005,,,,293,0.005,1.105653750,0.116040956,327,0.006,,,,2.348547718,0.177314351,2.525862069,6月,224490,,,1.931740614,-0.139691685,1.792048930
スウェーデン,ヨーロッパ,,,,,15,234,0.005,0.944121780,-0.047008547,223,0.004,,,,2014,608,0.006,0.764202184,-0.228618421,469,0.004,,,,290,0.005,0.778889519,-0.213793103,228,0.004,,,,2.598290598,-0.495151585,2.103139013,6月,224490,,,2.096551724,-0.039534180,2.057017544
フィンランド,ヨーロッパ,,,,,16,66,0.001,1.425997226,0.439393939,95,0.002,,,,2014,216,0.002,1.009038973,0.018518519,220,0.002,,,,133,0.002,1.065180991,0.075187970,143,0.003,,,,3.272727273,-0.956937799,2.315789474,6月,224490,,,1.624060150,-0.085598612,1.538461538
ロシア,ヨーロッパ,,,,,17,237,0.005,0.902909903,-0.088607595,216,0.004,,,,2014,481,0.005,0.930962890,-0.060291060,452,0.004,,,,294,0.005,0.913189631,-0.078231293,271,0.005,,,,2.029535865,0.063056728,2.092592593,6月,224490,,,1.636054422,0.031842257,1.667896679
その他,ヨーロッパ,,,,,18,1897,0.037,1.111330680,0.121771218,2128,0.035,,,,2014,4643,0.044,0.964874625,-0.026060737,4522,0.04,,,,2459,0.046,0.978203392,-0.012606751,2428,0.043,,,,2.447548761,-0.322548761,2.125,6月,224490,,,1.888165921,-0.025727700,1.862438221
ヨーロッパ小計,ヨーロッパ,,,,,19,6824,0.132,1.213685799,0.225087925,8360,0.147,,,,2014,16765,0.158,1.120165398,0.130688935,18956,0.168,,,,9421,0.175,1.059781566,0.069737820,10078,0.177,,,,2.456770223,-0.189306108,2.267464115,6月,224490,,,1.779535081,0.101393675,1.880928756
中国,東アジア,,,,,20,4754,0.092,1.478537124,0.492427430,7095,0.121,,,,2014,9820,0.093,1.378697346,0.391649695,13666,0.121,,,,4923,0.091,1.403833646,0.417022141,6976,0.123,,,,2.065628944,-0.139483771,1.926145173,6月,224490,,,1.994718667,-0.035716374,1.959002294
台湾,東アジア,,,,,21,14397,0.279,1.195891529,0.207126485,17379,0.294,,,,2014,24367,0.23,1.079772629,0.089916691,26558,0.235,,,,11317,0.21,1.076744858,0.086860475,12300,0.216,,,,1.692505383,-0.164339205,1.528166178,6月,224490,,,2.153132456,0.006054536,2.159186992
香港,東アジア,,,,,22,1968,0.038,1.283168685,0.295223577,2549,0.042,,,,2014,3921,0.037,1.248914705,0.260647794,4943,0.044,,,,1827,0.034,1.237417073,0.249042146,2282,0.04,,,,1.992378049,-0.053186209,1.939191840,6月,224490,,,2.146141215,0.019941169,2.166082384
韓国,東アジア,,,,,23,2092,0.041,0.753911545,-0.239005736,1592,0.025,,,,2014,3924,0.037,0.683689126,-0.309887870,2708,0.024,,,,2204,0.041,0.707958791,-0.285390200,1575,0.028,,,,1.875717017,-0.174711992,1.701005025,6月,224490,,,1.780399274,-0.061034195,1.719365079
東アジア小計,東アジア,,,,,24,23211,0.45,1.221346549,0.232820645,28615,0.482,,,,2014,42032,0.397,1.128412121,0.139013133,47875,0.424,,,,20271,0.377,1.130565674,0.141186917,23133,0.406,,,,1.810865538,-0.137791975,1.673073563,6月,224490,,,2.073504021,-0.003949704,2.069554316
フィリピン,東南アジア,,,,,25,355,0.007,1.239063683,0.250704225,444,0.007,,,,2014,831,0.008,1.314962899,0.327316486,1103,0.01,,,,433,0.008,1.324737037,0.337182448,579,0.01,,,,2.340845070,0.143389164,2.484234234,6月,224490,,,1.919168591,-0.014159956,1.905008636
ベトナム,東南アジア,,,,,26,46,0.001,1.615260016,0.630434783,75,0.001,,,,2014,74,0.001,1.954610138,0.972972973,146,0.001,,,,50,0.001,1.585108496,0.6,80,0.001,,,,1.608695652,0.337971014,1.946666667,6月,224490,,,1.48,0.345,1.825
タイ,東南アジア,,,,,27,574,0.011,1.266844116,0.278745645,734,0.011,,,,2014,1085,0.01,1.035433775,0.045161290,1134,0.01,,,,530,0.01,1.087892859,0.098113208,582,0.01,,,,1.890243902,-0.345284774,1.544959128,6月,224490,,,2.047169811,-0.098716203,1.948453608
インドネシア,東南アジア,,,,,28,709,0.014,0.937595029,-0.053596615,671,0.011,,,,2014,1425,0.013,0.745279082,-0.247719298,1072,0.009,,,,624,0.012,0.822402044,-0.169871795,518,0.009,,,,2.009873061,-0.412257561,1.597615499,6月,224490,,,2.283653846,-0.214155777,2.069498069
マレーシア,東南アジア,,,,,29,422,0.008,1.420306042,0.433649289,605,0.009,,,,2014,891,0.008,1.244203428,0.255892256,1119,0.01,,,,420,0.008,1.431786989,0.445238095,607,0.011,,,,2.111374408,-0.261787631,1.849586777,6月,224490,,,2.121428571,-0.277935985,1.843492586
シンガポール,東南アジア,,,,,30,1336,0.026,0.925437595,-0.065868263,1248,0.022,,,,2014,2864,0.027,0.940189615,-0.050977654,2718,0.024,,,,1289,0.024,1.006064304,0.015515904,1309,0.023,,,,2.143712575,0.034172041,2.177884615,6月,224490,,,2.221877424,-0.145483230,2.076394194
インド,東南アジア,,,,,31,363,0.007,1.050734798,0.060606061,385,0.008,,,,2014,914,0.009,1.001531900,0.010940919,924,0.008,,,,562,0.01,0.886687693,-0.104982206,503,0.009,,,,2.517906336,-0.117906336,2.4,6月,224490,,,1.626334520,0.210643612,1.836978131
その他,東南アジア,,,,,32,927,0.018,0.526873307,-0.468176915,493,0.008,,,,2014,1724,0.016,0.500518235,-0.494779582,871,0.008,,,,716,0.013,0.737485011,-0.255586592,533,0.009,,,,1.859762675,-0.093028395,1.766734280,6月,224490,,,2.407821229,-0.773674888,1.634146341
東南アジア小計,東南アジア,,,,,33,4732,0.092,0.974572069,-0.016272189,4655,0.078,,,,2014,9808,0.093,0.917865575,-0.073511419,9087,0.08,,,,4624,0.086,1.009332575,0.018814879,4711,0.083,,,,2.072696534,-0.120602012,1.952094522,6月,224490,,,2.121107266,-0.192217434,1.928889832
イスラエル,中東,,,,,34,98,0.002,1.304075229,0.316326531,129,0.003,,,,2014,205,0.002,1.411133173,0.424390244,292,0.003,,,,112,0.002,1.087992996,0.098214286,123,0.002,,,,2.091836735,0.171729157,2.263565891,6月,224490,,,1.830357143,0.543626597,2.373983740
カタール,中東,,,,,35,4,0,0.743019607,-0.25,3,0,,,,2014,8,0,1.733712417,0.75,14,0,,,,4,0,0.990692810,0,4,0,,,,2,2.666666667,4.666666667,6月,224490,,,2,1.5,3.5
UAE,中東,,,,,36,20,0,2.427197384,1.45,49,0.001,,,,2014,44,0,3.084657158,2.113636364,137,0.001,,,,25,0,3.051333854,2.08,77,0.001,,,,2.2,0.595918367,2.795918367,6月,224490,,,1.76,0.019220779,1.779220779
サウジアラビア,中東,,,,,37,43,0.001,0.575984192,-0.418604651,25,0.001,,,,2014,139,0.001,0.769746931,-0.223021583,108,0.001,,,,117,0.002,0.533449974,-0.461538462,63,0.001,,,,3.232558140,1.087441860,4.32,6月,224490,,,1.188034188,0.526251526,1.714285714
トルコ,中東,,,,,38,44,0.001,0.405283422,-0.590909091,18,0,,,,2014,128,0.001,0.843636846,-0.1484375,109,0.001,,,,77,0.001,1.260881758,0.272727273,98,0.002,,,,2.909090909,3.146464646,6.055555556,6月,224490,,,1.662337662,-0.550092764,1.112244898
その他,中東,,,,,39,123,0.002,1.312869333,0.325203252,163,0.003,,,,2014,269,0.003,1.465783414,0.479553903,398,0.004,,,,178,0.003,1.513867664,0.528089888,272,0.005,,,,2.186991870,0.254725921,2.441717791,6月,224490,,,1.511235955,-0.048000661,1.463235294
中東小計,中東,,,,,40,332,0.006,1.154813607,0.165662651,387,0.007,,,,2014,793,0.007,1.321756611,0.334174023,1058,0.009,,,,513,0.01,1.230158518,0.241715400,637,0.011,,,,2.388554217,0.345295912,2.733850129,6月,224490,,,1.545808967,0.115101551,1.660910518
オーストラリア,オセアニア,,,,,41,2672,0.052,0.796781006,-0.195733533,2149,0.036,,,,2014,5909,0.056,0.793023691,-0.199526147,4730,0.042,,,,2776,0.052,0.839019739,-0.153097983,2351,0.041,,,,2.211452096,-0.010428364,2.201023732,6月,224490,,,2.128602305,-0.116692480,2.011909826
ニュージーランド,オセアニア,,,,,42,186,0.004,0.617851430,-0.376344086,116,0.002,,,,2014,446,0.004,0.679713004,-0.313901345,306,0.003,,,,198,0.004,0.800559846,-0.191919192,160,0.003,,,,2.397849462,0.240081572,2.637931034,6月,224490,,,2.252525253,-0.340025253,1.9125
その他,オセアニア,,,,,43,44,0.001,1.080755792,0.090909091,48,0.001,,,,2014,94,0.001,0.822064246,-0.170212766,78,0.001,,,,67,0.001,0.650604233,-0.343283582,44,0.001,,,,2.136363636,-0.511363636,1.625,6月,224490,,,1.402985075,0.369742198,1.772727273
オセアニア小計,オセアニア,,,,,44,2902,0.056,0.789618356,-0.202963473,2313,0.039,,,,2014,6449,0.061,0.785610642,-0.207008839,5114,0.045,,,,3041,0.056,0.832364396,-0.159815850,2555,0.045,,,,2.222260510,-0.011279101,2.210981409,6月,224490,,,2.120683986,-0.119118428,2.001565558
アフリカ,アフリカ,,,,,45,220,0.004,0.504352703,-0.490909091,112,0.002,,,,2014,311,0.003,0.707182649,-0.286173633,222,0.002,,,,200,0.004,0.802461176,-0.19,162,0.003,,,,1.413636364,0.568506494,1.982142857,6月,224490,,,1.555,-0.184629630,1.370370370
海外その他,海外その他,,,,,46,1925,0.037,1.100826971,0.111168831,2139,0.035,,,,2014,4389,0.041,0.978278113,-0.012531328,4334,0.038,,,,2411,0.045,0.970558447,-0.020323517,2362,0.041,,,,2.28,-0.253819542,2.026180458,6月,224490,,,1.820406470,0.014479220,1.834885690
海外合計,海外合計,,,,,47,51563,,1.118595415,0.129104203,58220,0,,,,2014,105918,,1.056129156,0.066051096,112914,0,,,,53835,,1.047482594,0.057323303,56921,0,,,,2.054147354,-0.114710734,1.939436620,6月,224490,,,1.967456116,0.016240587,1.983696702
国内合計,国内合計,,,,,48,146466,,0.961310089,-0.029658760,142122,0,,,,2014,232847,,0.934250035,-0.056973034,219581,0,,,,135372,,0.915402147,-0.075997991,125084,0,,,,1.589768274,-0.044750613,1.545017661,6月,224490,,,1.720052891,0.035415434,1.755468325
合　　計,合　　計,,,,,49,198029,,1.002264208,0.011680107,200342,0,,,,2014,338765,,0.972356665,-0.018508406,332495,0,,,,189207,,0.952982949,-0.038064131,182005,0,,,,1.710683789,-0.051046768,1.659637021,6月,224490,,,1.790446442,0.036398974,1.826845416
アメリカ,北米,,,,,1,7299,0.14,1.061818731,0.080832991,7889,0.124,,,,2014,16302,0.155,1.110888533,0.130781499,18434,0.138,,,,8357,0.167,1.058230796,0.077180807,9002,0.143,,,,2.233456638,0.103214677,2.336671314,7月,231973,,,1.950700012,0.097067151,2.047767163
カナダ,北米,,,,,2,673,0.013,1.315229424,0.338781575,901,0.013,,,,2014,1556,0.015,1.283570052,0.306555270,2033,0.015,,,,788,0.016,1.184374852,0.205583756,950,0.015,,,,2.312035661,-0.055653863,2.256381798,7月,231973,,,1.974619289,0.165380711,2.14
北米小計,北米,,,,,3,7972,0.153,1.083211781,0.102609132,8790,0.138,,,,2014,17858,0.17,1.125934588,0.146096987,20467,0.153,,,,9145,0.183,1.069100290,0.088244943,9952,0.158,,,,2.240090316,0.088351095,2.328441411,7月,231973,,,1.952761072,0.103810472,2.056571543
メキシコ,中南米,,,,,4,344,0.007,1.770618659,0.802325581,620,0.012,,,,2014,797,0.008,2.322278849,1.363864492,1884,0.014,,,,392,0.008,1.796904012,0.829081633,717,0.011,,,,2.316860465,0.721849212,3.038709677,7月,231973,,,2.033163265,0.594451797,2.627615063
ブラジル,中南米,,,,,5,652,0.013,0.955286085,-0.027607362,634,0.011,,,,2014,1380,0.013,1.183872554,0.205072464,1663,0.012,,,,693,0.014,1.016430552,0.034632035,717,0.011,,,,2.116564417,0.506463974,2.623028391,7月,231973,,,1.991341991,0.328044341,2.319386332
その他,中南米,,,,,6,363,0.007,0.760486457,-0.225895317,281,0.008,,,,2014,729,0.007,1.506628106,0.533607682,1118,0.008,,,,367,0.007,1.453535205,0.479564033,543,0.009,,,,2.008264463,1.970383224,3.978647687,7月,231973,,,1.986376022,0.072555838,2.058931860
南米小計,中南米,,,,,7,1359,0.026,1.109636446,0.129506990,1535,0.031,,,,2014,2906,0.028,1.577058588,0.605299381,4665,0.035,,,,1452,0.029,1.337617194,0.361570248,1977,0.031,,,,2.138337013,0.900750935,3.039087948,7月,231973,,,2.001377410,0.358258401,2.359635812
イギリス,ヨーロッパ,,,,,8,1334,0.026,1.288765818,0.311844078,1750,0.028,,,,2014,2980,0.028,1.367458872,0.391946309,4148,0.031,,,,1398,0.028,1.326742399,0.350500715,1888,0.03,,,,2.233883058,0.136402656,2.370285714,7月,231973,,,2.131616595,0.065417303,2.197033898
フランス,ヨーロッパ,,,,,9,1661,0.032,1.268672288,0.291390728,2145,0.033,,,,2014,3734,0.036,1.406784777,0.431976433,5347,0.04,,,,1733,0.035,1.334441948,0.358338142,2354,0.037,,,,2.248043347,0.244730545,2.492773893,7月,231973,,,2.154645124,0.116807722,2.271452846
ドイツ,ヨーロッパ,,,,,10,637,0.012,1.127378464,0.147566719,731,0.011,,,,2014,1464,0.014,1.113932310,0.133879781,1660,0.012,,,,813,0.016,1.121370741,0.141451415,928,0.015,,,,2.298273155,-0.027411322,2.270861833,7月,231973,,,1.800738007,-0.011944904,1.788793103
イタリア,ヨーロッパ,,,,,11,1037,0.02,1.417243999,0.442622951,1496,0.022,,,,2014,2609,0.025,1.320169279,0.343809889,3506,0.026,,,,1353,0.027,1.254693740,0.277161863,1728,0.027,,,,2.515911283,-0.172328395,2.343582888,7月,231973,,,1.928307465,0.100627720,2.028935185
オランダ,ヨーロッパ,,,,,12,285,0.005,1.475335181,0.501754386,428,0.007,,,,2014,743,0.007,1.490139380,0.516823688,1127,0.008,,,,448,0.009,1.223623966,0.245535714,558,0.009,,,,2.607017544,0.026160026,2.633177570,7月,231973,,,1.658482143,0.361231119,2.019713262
スペイン,ヨーロッパ,,,,,13,1429,0.027,1.858943748,0.892232330,2704,0.04,,,,2014,3187,0.03,1.903781111,0.937872607,6176,0.046,,,,1449,0.029,1.974307407,1.009661836,2912,0.046,,,,2.230230931,0.053792738,2.284023669,7月,231973,,,2.199447895,-0.078568774,2.120879121
スイス,ヨーロッパ,,,,,14,453,0.009,1.509394723,0.536423841,696,0.011,,,,2014,1066,0.01,1.555632570,0.583489681,1688,0.013,,,,516,0.01,1.443149402,0.468992248,758,0.012,,,,2.353200883,0.072086473,2.425287356,7月,231973,,,2.065891473,0.161021456,2.226912929
スウェーデン,ヨーロッパ,,,,,15,254,0.005,1.315034026,0.338582677,340,0.005,,,,2014,717,0.007,1.089280584,0.108786611,795,0.006,,,,382,0.008,1.031270986,0.049738220,401,0.006,,,,2.822834646,-0.484599352,2.338235294,7月,231973,,,1.876963351,0.105580290,1.982543641
フィンランド,ヨーロッパ,,,,,16,72,0.001,1.814725468,0.847222222,133,0.002,,,,2014,198,0.002,1.701847807,0.732323232,343,0.003,,,,99,0.002,1.230490543,0.252525253,124,0.002,,,,2.75,-0.171052632,2.578947368,7月,231973,,,2,0.766129032,2.766129032
ロシア,ヨーロッパ,,,,,17,295,0.006,0.965756793,-0.016949153,290,0.005,,,,2014,631,0.006,1.111630981,0.131537242,714,0.005,,,,342,0.007,1.014005683,0.032163743,353,0.006,,,,2.138983051,0.323085915,2.462068966,7月,231973,,,1.845029240,0.177633650,2.022662890
その他,ヨーロッパ,,,,,18,2922,0.056,1.203298226,0.224845996,3579,0.045,,,,2014,6524,0.062,1.056043180,0.074954016,7013,0.052,,,,2446,0.049,1.264759638,0.287408013,3149,0.05,,,,2.232717317,-0.273231427,1.959485890,7月,231973,,,2.667211774,-0.440155566,2.227056208
