旅行・観光消費動向調査　2022年（確報）,,,,,,,,,,,,
第4表　旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，主目的地(16区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(12区分)・交通機関(12区分)・宿泊数(8区分)・旅行形態(2区分)別延べ旅行者数,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数
,,,,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行
,,,,全体,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行
,,,,全目的,全目的,観光・レクリエーション,帰省・知人訪問等,出張・業務,全目的,観光・レクリエーション,帰省・知人訪問等,出張・業務
調査期,時間軸コード,,,千人,千人,千人,千人,千人,千人,千人,千人,千人
2022年7-9月,2022000709,主目的地  ,北海道,"8,736","5,531","3,530","1,281",721,"3,205","2,349",555,300
2022年7-9月,2022000709,主目的地  ,東北,"9,226","5,401","3,106","1,567",727,"3,825","2,714",766,346
2022年7-9月,2022000709,主目的地  ,関東,"37,236","16,996","11,795","3,581","1,620","20,240","16,414","2,518","1,307"
2022年7-9月,2022000709,主目的地  ,北陸信越,"9,591","6,499","4,933","1,298",269,"3,092","2,394",344,353
2022年7-9月,2022000709,主目的地  ,中部,"16,753","9,544","6,220","1,686","1,638","7,209","5,418",939,853
2022年7-9月,2022000709,主目的地  ,近畿,"19,118","9,943","6,251","3,153",538,"9,175","7,061","1,551",563
2022年7-9月,2022000709,主目的地  ,中国,"5,870","3,403","1,820","1,311",272,"2,467","1,698",594,175
2022年7-9月,2022000709,主目的地  ,四国,"3,445","2,171","1,505",475,191,"1,274",976,252,46
2022年7-9月,2022000709,主目的地  ,九州,"11,119","6,871","4,005","2,365",502,"4,247","3,035",619,593
2022年7-9月,2022000709,主目的地  ,沖縄,"2,491","2,229","1,791",171,266,262,178,78,6
2022年7-9月,2022000709,同行者,全体,"126,615","69,986","45,856","17,289","6,840","56,630","42,767","8,696","5,167"
2022年7-9月,2022000709,同行者,自分ひとり,"19,360","11,085","3,281","4,715","3,089","8,276","4,350","1,931","1,995"
2022年7-9月,2022000709,同行者,夫婦･パートナー,"23,907","12,423","10,234","1,984",205,"11,484","8,905","2,407",172
2022年7-9月,2022000709,同行者,家族･親族,"59,434","35,028","25,094","9,757",177,"24,405","19,862","3,957",587
2022年7-9月,2022000709,同行者,職場の同僚,"6,284","2,982",545,0,"2,437","3,302","1,305",0,"1,997"
2022年7-9月,2022000709,同行者,友人,"14,922","6,687","5,858",563,265,"8,235","7,832",384,19
2022年7-9月,2022000709,同行者,その他,"2,144","1,401",746,29,627,743,402,0,341
2022年7-9月,2022000709,宿泊施設,全体,"69,986","69,986","45,856","17,289","6,840",***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,ホテル (洋室主体),"36,881","36,881","27,349","3,765","5,767",***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,旅館 (和室主体),"10,483","10,483","8,882",694,907,***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,自己所有の別荘･リゾートマンション,348,348,235,113,0,***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,ペンション･民宿･貸別荘,"2,051","2,051","1,780",200,71,***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,キャンプ場,"3,033","3,033","2,969",63,1,***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,保養所･研修施設,907,907,735,16,156,***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,会員制の宿泊施設,644,644,606,33,4,***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,実家や親族･知人宅,"14,355","14,355","1,569","12,489",297,***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,民泊（有料の住宅宿泊）,372,372,350,7,15,***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,車中泊,"1,061","1,061","1,000",61,0,***,***,***,***
2022年7-9月,2022000709,宿泊施設  ,その他,884,884,666,82,135,***,***,***,***
2022年7-9月,2022000709,宿泊数,全体,"69,986","69,986","45,856","17,289","6,840",***,***,***,***
2022年7-9月,2022000709,宿泊数,1泊,"34,333","34,333","26,957","4,835","2,542",***,***,***,***
2022年7-9月,2022000709,宿泊数,2泊,"18,138","18,138","11,735","4,870","1,534",***,***,***,***
2022年7-9月,2022000709,宿泊数,3泊,"7,795","7,795","4,013","2,645","1,137",***,***,***,***
2022年7-9月,2022000709,宿泊数,4泊,"4,348","4,348","1,424","1,698","1,225",***,***,***,***
2022年7-9月,2022000709,宿泊数,5泊,"1,568","1,568",770,681,117,***,***,***,***
2022年7-9月,2022000709,宿泊数,6泊,"1,083","1,083",279,710,94,***,***,***,***
2022年7-9月,2022000709,宿泊数,7泊,477,477,218,259,0,***,***,***,***
2022年7-9月,2022000709,宿泊数,8泊以上,"2,244","2,244",460,"1,593",192,***,***,***,***
2022年7-9月,2022000709,旅行形態,全体,"126,615","69,986","45,856","17,289","6,840","56,630","42,767","8,696","5,167"
2022年7-9月,2022000709,旅行形態,個人旅行,"120,214","65,427","41,861","17,076","6,490","54,787","40,964","8,683","5,141"
2022年7-9月,2022000709,旅行形態,パック・団体旅行,"6,402","4,559","3,995",214,350,"1,843","1,803",13,26
2022年10-12月,2022001012,主目的地,全体,"110,577","64,925","42,167","13,328","9,430","45,651","34,755","6,386","4,510"
2022年10-12月,2022001012,主目的地  ,北海道,"5,235","3,262","2,200",644,418,"1,973","1,406",326,241
2022年10-12月,2022001012,主目的地  ,東北,"7,779","5,048","2,902","1,366",781,"2,731","2,101",499,131
2022年10-12月,2022001012,主目的地  ,関東,"34,607","16,563","11,307","3,267","1,989","18,044","14,227","2,143","1,674"
2022年10-12月,2022001012,主目的地  ,北陸信越,"6,991","5,140","3,759",847,534,"1,851","1,494",315,42
2022年10-12月,2022001012,主目的地  ,中部,"14,229","9,208","5,429","1,799","1,980","5,021","3,653",644,724
2022年10-12月,2022001012,主目的地  ,近畿,"18,627","10,314","7,262","1,929","1,123","8,313","6,645","1,104",564
2022年10-12月,2022001012,主目的地  ,中国,"5,540","3,404","2,033","1,167",203,"2,135","1,520",289,326
2022年10-12月,2022001012,主目的地  ,四国,"3,098","2,308","1,299",450,559,790,560,173,58
2022年10-12月,2022001012,主目的地  ,九州,"10,785","6,795","4,157","1,424","1,215","3,989","2,669",583,737
2022年10-12月,2022001012,主目的地  ,沖縄,"2,138","1,918","1,251",207,460,220,211,5,4
2022年10-12月,2022001012,同行者,全体,"110,577","64,925","42,167","13,328","9,430","45,651","34,755","6,386","4,510"
2022年10-12月,2022001012,同行者,自分ひとり,"19,539","11,953","3,628","4,009","4,315","7,586","4,082","1,725","1,778"
2022年10-12月,2022001012,同行者,夫婦･パートナー,"23,056","13,897","11,121","2,677",98,"9,159","6,932","2,023",204
2022年10-12月,2022001012,同行者,家族･親族,"40,256","24,819","18,273","6,210",336,"15,437","13,088","2,153",197
2022年10-12月,2022001012,同行者,職場の同僚,"7,737","4,682","1,017",0,"3,665","3,055","1,312",0,"1,742"
2022年10-12月,2022001012,同行者,友人,"15,610","7,086","6,595",276,215,"8,525","8,158",322,45
2022年10-12月,2022001012,同行者,その他,"3,419","1,935","1,412",43,480,"1,484",923,38,523
2022年10-12月,2022001012,宿泊施設,全体,"64,925","64,925","42,167","13,328","9,430",***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,ホテル (洋室主体),"38,064","38,064","26,724","3,624","7,716",***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,旅館 (和室主体),"11,365","11,365","9,679",397,"1,289",***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,自己所有の別荘･リゾートマンション,376,376,303,50,23,***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,ペンション･民宿･貸別荘,"1,325","1,325","1,145",138,41,***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,キャンプ場,"1,091","1,091",997,84,10,***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,保養所･研修施設,749,749,685,53,11,***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,会員制の宿泊施設,433,433,370,51,12,***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,実家や親族･知人宅,"10,600","10,600","1,490","8,744",366,***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,民泊（有料の住宅宿泊）,472,472,294,57,121,***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,車中泊,501,501,463,38,0,***,***,***,***
2022年10-12月,2022001012,宿泊施設  ,その他,585,585,356,69,160,***,***,***,***
2022年10-12月,2022001012,宿泊数,全体,"64,925","64,925","42,167","13,328","9,430",***,***,***,***
2022年10-12月,2022001012,宿泊数,1泊,"37,863","37,863","27,125","5,679","5,058",***,***,***,***
2022年10-12月,2022001012,宿泊数,2泊,"14,735","14,735","9,617","3,774","1,344",***,***,***,***
2022年10-12月,2022001012,宿泊数,3泊,"6,205","6,205","3,630","1,808",767,***,***,***,***
2022年10-12月,2022001012,宿泊数,4泊,"2,156","2,156",979,697,480,***,***,***,***
2022年10-12月,2022001012,宿泊数,5泊,773,773,336,217,221,***,***,***,***
2022年10-12月,2022001012,宿泊数,6泊,704,704,129,201,374,***,***,***,***
2022年10-12月,2022001012,宿泊数,7泊,628,628,97,383,148,***,***,***,***
2022年10-12月,2022001012,宿泊数,8泊以上,"1,861","1,861",255,568,"1,038",***,***,***,***
2022年10-12月,2022001012,旅行形態,全体,"110,577","64,925","42,167","13,328","9,430","45,651","34,755","6,386","4,510"
2022年10-12月,2022001012,旅行形態,個人旅行,"100,024","58,025","36,761","12,828","8,437","41,999","31,400","6,355","4,243"
